id,market_id,market_name,title,url,image_url,price,quantity_value,quantity_unit,normalized_price,normalized_unit,price_display,availability,normalization_status,search_query,cep,collected_at
a3b6175a-42f0-47d3-85dd-5a5a9cc9805b,atacadao,Atacadão,Arroz Biguá Longo Fino - Tipo 1 5kg,https://www.atacadao.com.br/arroz-bigua-longo-fino-tipo-1-pacote-com-5kg-14967-13591/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F655751-300-300%2Fm.jpg%3Fv%3D638976168412470000&w=3840&q=75,13.65,5.0,kg,2.73,kg,"R$ 2,73/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.412681
9b1291e6-fa30-4cb9-a59d-26fe695378ff,atacadao,Atacadão,Arroz Patéko Agulhinha- Tipo 1 5kg,https://www.atacadao.com.br/arroz-pateko-agulhinha-16175-14583/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F655967-300-300%2Fm.jpg%3Fv%3D638976169310530000&w=3840&q=75,14.9,5.0,kg,2.98,kg,"R$ 2,98/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.661122
449bf9c1-b9f9-49cc-a2bd-d7cfedc2555c,atacadao,Atacadão,Arroz Vila Nova Parboilizado - Tipo 1 5kg,https://www.atacadao.com.br/arroz-vila-nova-parboilizado---tipo-1-13161-15219/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F655452-300-300%2Fp.jpg%3Fv%3D638976165885000000&w=3840&q=75,14.88,5.0,kg,2.98,kg,"R$ 2,98/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.761195
ec55bc28-d9e6-4bd9-9e59-1d0f7236d1c8,atacadao,Atacadão,Arroz Meu Biju Agulhinha Tipo 1 5kg,https://www.atacadao.com.br/arroz-meu-biju-agulhinha---tipo-1-pacote-com-5kg-1503-14382/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F662557-300-300%2Fg.jpg%3Fv%3D638976416310800000&w=3840&q=75,15.1,5.0,kg,3.02,kg,"R$ 3,02/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.281271
e1f14830-5cf5-4e4f-af5a-3d37f49d7a0d,atacadao,Atacadão,Arroz Sabor Máximo Agulhinha Tipo 1 5kg,https://www.atacadao.com.br/arroz-sabor-maximo-agulhinha-tipo-1-35781-14357/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F659472-300-300%2Fm.jpg%3Fv%3D638976194481700000&w=3840&q=75,15.29,5.0,kg,3.06,kg,"R$ 3,06/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.581061
3bd8391e-ca53-48a0-8027-35b3ab0257c9,atacadao,Atacadão,Arroz Namorado Agulhinha Tipo 1 5kg,https://www.atacadao.com.br/arroz-namorado-agulhinha-tipo-1-5619-14443/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F652073-300-300%2Fg.jpg%3Fv%3D638976140219130000&w=3840&q=85,15.6,5.0,kg,3.12,kg,"R$ 3,12/kg",available,success,arroz 5 kg,,2025-12-31T22:03:41.763377
407ac47a-6eca-4530-8d8b-7cc28068c325,atacadao,Atacadão,Arroz para Cães Cão Brasil 5kg,https://www.atacadao.com.br/arroz-para-caes-cao-brasil-11418-14553/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F655157-300-300%2Fg.jpg%3Fv%3D638976164602300000&w=3840&q=75,16.9,5.0,kg,3.38,kg,"R$ 3,38/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.860945
24a4f37d-eba3-4820-900c-c0f8dad115e8,carrefour,Carrefour,Arroz Solito Tipo 1 5Kg,https://mercado.carrefour.com.br/arroz-solito-tipo-1-5kg-962740/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/182493353-200-auto/arroz-solito-tipo-1-5kg-1.jpg?v=638723876748630000&quality=5&width=200&height=200,16.98,5.0,kg,3.4,kg,"R$ 3,40/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.408112
e2e43b28-ed5e-46b6-81ff-cac9a66fc5eb,atacadao,Atacadão,Arroz Camil Parboilizado Tipo 1 5kg,https://www.atacadao.com.br/arroz-camil-parboilizado-tipo-1-15255-13773/p,/_next/image?url=https%3A%2F%2Fatacadaobr.vtexassets.com%2Farquivos%2Fids%2F655794-300-300%2Fg.jpg%3Fv%3D638976168579270000&w=3840&q=80,17.49,5.0,kg,3.5,kg,"R$ 3,50/kg",available,success,arroz 5 kg,,2025-12-31T22:03:42.045282
8b47951f-f7ae-42dc-a35d-774f390ccc2a,carrefour,Carrefour,Arroz Branco Camil Tipo 1 5kg,https://mercado.carrefour.com.br/arroz-branco-camil-tipo-1-5kg-115789/p,https://carrefourbrfood.vtexassets.com/arquivos/ids/205951054-200-auto/115789_1.jpg?v=638977929408970000&quality=5&width=200&height=200,18.69,5.0,kg,3.74,kg,"R$ 3,74/kg",available,success,arroz 5 kg,,2025-12-31T22:03:39.008092
